artist|rank|src|title
Car Seat Headrest|17|metacritic_ye2016|Teens of Denial
The Dillinger Escape Plan|18|metacritic_ye2016|Dissociation
Kendrick Lamar|19|metacritic_ye2016|untitled unmastered.
Anderson .Paak|20|metacritic_ye2016|Malibu
Paul Simon|21|metacritic_ye2016|Stranger to Stranger
Danny Brown|22|metacritic_ye2016|Atrocity Exhibition
Kevin Morby|23|metacritic_ye2016|Singing Saw
Loretta Lynn|24|metacritic_ye2016|Full Circle
Kate Tempest|25|metacritic_ye2016|Let Them Eat Chaos
Jenny Hval|26|metacritic_ye2016|Blood Bitch
Lambchop|27|metacritic_ye2016|FLOTUS
Bob Mould|28|metacritic_ye2016|Patch the Sky
Skepta|29|metacritic_ye2016|Konnichiwa
Whitney|30|metacritic_ye2016|Light Upon the Lake
case/lang/veirs|31|metacritic_ye2016|case/lang/veirs
The Avalanches|32|metacritic_ye2016|Wildflower
Lucinda Williams|33|metacritic_ye2016|The Ghosts of Highway 20
Steve Gunn|34|metacritic_ye2016|Eyes on the Lines
Anohni|35|metacritic_ye2016|Hopelessness
School of Seven Bells|36|metacritic_ye2016|SVIIB
The Rolling Stones|37|metacritic_ye2016|Blue & Lonesome
Blood Orange|38|metacritic_ye2016|Freetown Sound
Tim Hecker|39|metacritic_ye2016|Love Streams
Tindersticks|40|metacritic_ye2016|The Waiting Room
Kendrick Lamar|1|metacritic_ye2017|DAMN.
Mount Eerie|2|metacritic_ye2017|A Crow Looked at Me
Lorde|3|metacritic_ye2017|Melodrama
Converge|4|metacritic_ye2017|The Dusk in Us
Jlin|5|metacritic_ye2017|Black Origami
Vince Staples|6|metacritic_ye2017|Big Fish Theory
St. Vincent|7|metacritic_ye2017|Masseduction
Fever Ray|8|metacritic_ye2017|Plunge
Arca|9|metacritic_ye2017|Arca
The Horrors|10|metacritic_ye2017|V
SZA|11|metacritic_ye2017|CTRL
Sampha|12|metacritic_ye2017|Process
Magnetic Fields|13|metacritic_ye2017|50 Song Memoir
Paul Weller|14|metacritic_ye2017|A Kind Revolution
LCD Soundsystem|15|metacritic_ye2017|American Dream
Algiers|16|metacritic_ye2017|The Underside of Power
Protomartyr|17|metacritic_ye2017|Relatives in Descent
The National|18|metacritic_ye2017|Sleep Well Beast
The xx|19|metacritic_ye2017|I See You
Moses Sumney|20|metacritic_ye2017|Aromanticism
Sharon Jones & the Dap-Kings|21|metacritic_ye2017|Soul of a Woman
Laura Marling|22|metacritic_ye2017|Semper Femina
Father John Misty|23|metacritic_ye2017|Pure Comedy
Aimee Mann|24|metacritic_ye2017|Mental Illness
Tyler, The Creator|25|metacritic_ye2017|Flower Boy
Laurel Halo|26|metacritic_ye2017|Dust
Perfume Genius|27|metacritic_ye2017|No Shape
Robert Plant|28|metacritic_ye2017|Carry Fire
Kelela|29|metacritic_ye2017|Take Me Apart
Japanese Breakfast|30|metacritic_ye2017|Soft Sounds From Another Planet
Sheer Mag|31|metacritic_ye2017|Need to Feel Your Love
Julien Baker|32|metacritic_ye2017|Turn Out the Lights
Hurray for the Riff Raff|33|metacritic_ye2017|The Navigator
Mark Lanegan Band|34|metacritic_ye2017|Gargoyle
The Mountain Goats|35|metacritic_ye2017|Goths
Jens Lekman|36|metacritic_ye2017|Life Will See You Now
Stormzy|37|metacritic_ye2017|Gang Signs & Prayer
Ty Segall|38|metacritic_ye2017|Ty Segall (2017)
Randy Newman|39|metacritic_ye2017|Dark Matter
Phoebe Bridgers|40|metacritic_ye2017|Stranger in the Alps
Noname|1|metacritic_ye2018|Room 25
Robyn|2|metacritic_ye2018|Honey
Christine and the Queens|3|metacritic_ye2018|Chris
Kacey Musgraves|4|metacritic_ye2018|Golden Hour
Idles|5|metacritic_ye2018|Joy As an Act of Resistance
Janelle Monáe|6|metacritic_ye2018|Dirty Computer
Car Seat Headrest|7|metacritic_ye2018|Twin Fantasy (Face to Face) 
Earl Sweatshirt|8|metacritic_ye2018|Some Rap Songs
Hookworms|9|metacritic_ye2018|Microshift
Mitski|10|metacritic_ye2018|Be the Cowboy
Serpentwithfeet|11|metacritic_ye2018|Soil
U.S. Girls|12|metacritic_ye2018|In a Poem Unlimited
Young Fathers|13|metacritic_ye2018|Cocoa Sugar
Amen Dunes|14|metacritic_ye2018|Freedom
Kali Uchis|15|metacritic_ye2018|Isolation
SOPHIE|16|metacritic_ye2018|Oil Of Every Pearl's Un-Insides
Kamasi Washington|17|metacritic_ye2018|Heaven & Earth
Low|18|metacritic_ye2018|Double Negative
The 1975|19|metacritic_ye2018|A  Brief Inquiry into Online Relationships
Pusha T|20|metacritic_ye2018|DAYTONA
Screaming Females|21|metacritic_ye2018|All at Once
DJ Koze|22|metacritic_ye2018|Knock Knock
Deafheaven|23|metacritic_ye2018|Ordinary Corrupt Human Love
Ezra Furman|24|metacritic_ye2018|Transangelic Exodus
Let's Eat Grandma|25|metacritic_ye2018|I'm All Ears
Neko Case|26|metacritic_ye2018|Hell-On
Travis Scott|27|metacritic_ye2018|Astroworld
Troye Sivan|28|metacritic_ye2018|Bloom
Spiritualized|29|metacritic_ye2018|And Nothing Hurt
Jeff Tweedy|30|metacritic_ye2018|Warm
No Age|31|metacritic_ye2018|Snares Like a Haircut
Kids See Ghosts|32|metacritic_ye2018|Kids See Ghosts
Rolling Blackouts Coastal Fever|33|metacritic_ye2018|Hope Downs
Cardi B|34|metacritic_ye2018|Invasion of Privacy
Jon Hopkins|35|metacritic_ye2018|Singularity
Stephen Malkmus & the Jicks|36|metacritic_ye2018|Sparkle Hard
The Breeders|37|metacritic_ye2018|All Nerve
Blood Orange|38|metacritic_ye2018|Negro Swan
Eleanor Friedberger|39|metacritic_ye2018|Rebound
Anna Calvi|40|metacritic_ye2018|Hunter
